ID,Log,logDate,logDuration,logClass,success,bossNameID
68,https://dps.report/9xu8-20210821-141949_skor,2021-08-21 12:18:43,64.953,0,0,3
69,https://dps.report/HTcj-20210821-142509_skor,2021-08-21 12:24:57,11.061,0,0,3
70,https://dps.report/YXmX-20210821-142200_skor,2021-08-21 12:20:45,69.686,0,1,3
71,https://dps.report/z6K0-20210821-142642_skor,2021-08-21 12:25:46,54.815,0,0,3
72,https://dps.report/g5v6-20210821-142834_skor,2021-08-21 12:27:30,62.096,0,0,3
73,https://dps.report/MlqW-20210821-143200_skor,2021-08-21 12:31:01,56.928,0,0,3
74,https://dps.report/RcMp-20210821-143440_skor,2021-08-21 12:33:04,70.232,0,1,3
75,https://dps.report/cPFn-20210912-144516_skor,2021-09-12 12:44:58,17.868,1,0,3
76,https://dps.report/ifrU-20210912-144419_skor,2021-09-12 12:44:06,11.772,1,0,3
77,https://dps.report/fhrz-20210912-161005_skor,2021-09-12 14:09:14,49.472,1,0,3
78,https://dps.report/IWkt-20210912-161217_skor,2021-09-12 14:10:59,77.197,1,0,3
79,https://dps.report/ekst-20210912-160835_skor,2021-09-12 14:07:24,69.301,1,0,3
80,https://dps.report/CdZ1-20210912-160650_skor,2021-09-12 14:06:02,47.092,1,0,3
81,https://dps.report/SP1T-20210912-160518_skor,2021-09-12 14:04:01,75.571,1,0,3
82,https://dps.report/9mgn-20210912-160314_skor,2021-09-12 14:01:59,74.381,1,0,3
83,https://dps.report/F0pN-20210912-155946_skor,2021-09-12 13:58:32,73.095,1,0,3
84,https://dps.report/j2OC-20210912-160132_skor,2021-09-12 14:00:38,52.285,1,0,3
85,https://dps.report/A7w8-20210912-155524_skor,2021-09-12 13:54:49,33.09,1,0,3
86,https://dps.report/tOQp-20210912-155705_skor,2021-09-12 13:55:46,77.698,1,0,3
87,https://dps.report/RSQ1-20210912-155424_skor,2021-09-12 13:54:05,17.089,1,0,3
88,https://dps.report/H5U9-20210912-155340_skor,2021-09-12 13:52:52,46.278,1,0,3
89,https://dps.report/7n2a-20210912-155222_skor,2021-09-12 13:52:09,11.473,1,0,3
90,https://dps.report/1LCo-20210912-154706_skor,2021-09-12 13:45:44,81.191,1,0,3
91,https://dps.report/l9Ql-20210912-154315_skor,2021-09-12 13:41:55,79.084,1,0,3
92,https://dps.report/6uaB-20210912-154119_skor,2021-09-12 13:39:59,79.785,1,0,3
93,https://dps.report/ulJD-20210912-153844_skor,2021-09-12 13:37:39,63.958,1,0,3
94,https://dps.report/joRH-20210912-153501_skor,2021-09-12 13:33:46,73.789,1,0,3
95,https://dps.report/n9ui-20210912-153314_skor,2021-09-12 13:31:58,75.473,1,0,3
96,https://dps.report/Wcku-20210912-153108_skor,2021-09-12 13:30:24,43.093,1,0,3
97,https://dps.report/as8f-20210912-152947_skor,2021-09-12 13:28:33,73.465,1,0,3
98,https://dps.report/WvMl-20210912-152744_skor,2021-09-12 13:26:26,77.585,1,0,3
99,https://dps.report/2KGP-20210912-152441_skor,2021-09-12 13:23:27,73.297,1,0,3
100,https://dps.report/OzTm-20210912-152231_skor,2021-09-12 13:21:14,76.183,1,0,3
101,https://dps.report/B3Oc-20210912-151656_skor,2021-09-12 13:15:33,82.4,1,0,3
102,https://dps.report/sJrV-20210912-152048_skor,2021-09-12 13:19:21,85.962,1,0,3
103,https://dps.report/IthJ-20210912-151106_skor,2021-09-12 13:10:13,51.914,1,0,3
104,https://dps.report/DKJ0-20210912-151346_skor,2021-09-12 13:12:29,75.88,1,0,3
105,https://dps.report/SApF-20210912-150933_skor,2021-09-12 13:09:01,31.776,1,0,3
106,https://dps.report/QDvL-20210912-150741_skor,2021-09-12 13:07:04,36.789,1,0,3
107,https://dps.report/c0AD-20210912-150620_skor,2021-09-12 13:06:07,12.578,1,0,3
108,https://dps.report/SAUt-20210912-150130_skor,2021-09-12 13:00:11,78.473,1,0,3
109,https://dps.report/PxGl-20210912-145629_skor,2021-09-12 12:55:16,71.776,1,0,3
110,https://dps.report/L2px-20210912-145336_skor,2021-09-12 12:52:41,54.977,1,0,3
114,https://dps.report/nK5J-20210912-172728_skor,2021-09-12 15:26:46,40.783,1,0,3
115,https://dps.report/ZHkf-20210912-172858_skor,2021-09-12 15:27:51,66.587,1,0,3
116,https://dps.report/dWEx-20210912-172610_skor,2021-09-12 15:24:55,74.583,0,0,3
117,https://dps.report/bngU-20210912-172431_skor,2021-09-12 15:24:19,11.69,1,0,3
118,https://dps.report/0dJ6-20210912-172356_skor,2021-09-12 15:23:36,19.089,0,0,3
119,https://dps.report/Cqk9-20210912-172304_skor,2021-09-12 15:22:29,34.772,1,0,3
120,https://dps.report/Jwut-20210912-172200_skor,2021-09-12 15:21:23,37.157,0,0,3
121,https://dps.report/5Gc4-20210912-171906_skor,2021-09-12 15:17:29,77.225,1,1,3
122,https://dps.report/0FbS-20210912-171651_skor,2021-09-12 15:15:38,71.391,1,0,3
123,https://dps.report/Dd1d-20210912-171508_skor,2021-09-12 15:14:30,35.964,1,0,3
124,https://dps.report/d7Ej-20210912-171401_skor,2021-09-12 15:13:30,28.982,1,0,3
125,https://dps.report/Q5uV-20210912-171309_skor,2021-09-12 15:12:30,38.186,1,0,3
126,https://dps.report/KODW-20210912-171119_skor,2021-09-12 15:10:13,64.28,0,0,3
127,https://dps.report/s3pp-20210912-170935_skor,2021-09-12 15:09:03,30.957,1,0,3
128,https://dps.report/dE7B-20210912-170807_skor,2021-09-12 15:07:45,20.688,1,0,3
129,https://dps.report/HcmP-20210912-170448_skor,2021-09-12 15:03:38,68.485,1,0,3
130,https://dps.report/1CV3-20210912-170707_skor,2021-09-12 15:05:54,71.963,1,0,3
131,https://dps.report/Fzk4-20210912-170037_skor,2021-09-12 14:59:21,74.491,1,0,3
132,https://dps.report/uIaz-20210912-165850_skor,2021-09-12 14:57:37,71.293,0,0,3
133,https://dps.report/cpeZ-20210912-165705_skor,2021-09-12 14:56:50,12.893,1,0,3
134,https://dps.report/pTVe-20210912-165543_skor,2021-09-12 14:54:32,69.246,0,0,3
135,https://dps.report/iB4s-20210912-164459_skor,2021-09-12 14:43:44,73.762,1,0,3
136,https://dps.report/007c-20210912-164652_skor,2021-09-12 14:45:34,76.579,1,0,3
137,https://dps.report/P1Ht-20210912-164244_skor,2021-09-12 14:41:30,72.766,1,0,3
138,https://dps.report/ylO6-20210912-164104_skor,2021-09-12 14:39:50,72.492,1,0,3
139,https://dps.report/5nO0-20210912-163720_skor,2021-09-12 14:36:11,67.986,1,0,3
140,https://dps.report/UNJ1-20210912-163513_skor,2021-09-12 14:34:58,12.872,1,0,3
141,https://dps.report/uE2D-20210912-163431_skor,2021-09-12 14:34:01,28.665,1,0,3
142,https://dps.report/l67M-20210912-163223_skor,2021-09-12 14:30:46,77.596,1,1,3
143,https://dps.report/oB0k-20210912-162950_skor,2021-09-12 14:28:35,73.198,1,0,3
144,https://dps.report/Qytv-20210912-162813_skor,2021-09-12 14:27:52,18.767,1,0,3
145,https://dps.report/Gz9c-20210912-162721_skor,2021-09-12 14:26:55,24.163,1,0,3
146,https://dps.report/P8oD-20210912-162630_skor,2021-09-12 14:25:17,71.961,1,0,3
147,https://dps.report/rRQa-20210912-162217_skor,2021-09-12 14:20:48,78.549,1,1,3
148,https://dps.report/YPLG-20210912-161639_skor,2021-09-12 14:15:25,72.892,1,0,3
